name,hex,l,a,b,flag
Abyssal Blue,#00035b,0.2172779,-0.014699131,-0.14391373,false
Abyssal Depths,#10246a,0.29696235,-0.008162186,-0.12431514,false
Abyssal Waters,#005765,0.41974768,-0.06145835,-0.040414274,true
Abysse,#3d5758,0.43633264,-0.02955465,-0.010213703,false
Abyssopelagic Water,#000033,0.14513822,-0.010421723,-0.100029334,false
Acacia,#dbcd64,0.8388582,-0.025998801,0.124587715,false
Acacia Green,#486241,0.465771,-0.045710042,0.039570212,false
Acacia Haze,#969c92,0.6848812,-0.010778308,0.0117480755,false
Academic Blue,#2c3e56,0.35952398,-0.011732936,-0.046498984,false
Academy Purple,#525367,0.44906187,0.0071909577,-0.031784087,false
Acadia,#35312c,0.31561327,0.0029546916,0.009997502,false
Acadia Bloom,#e5b7be,0.8222775,0.053326905,0.0075721145,false
Acai,#48295b,0.344104,0.059668556,-0.068350226,false
Acai Berry,#42314b,0.34332904,0.03413482,-0.03588307,false
Acai Juice,#942193,0.48192716,0.165661,-0.10163966,false
Acajou,#4c2f27,0.338304,0.0364926,0.026640236,false
Acanthus,#9899a7,0.6866409,0.0044495463,-0.019925892,false
Acanthus Leaf,#90977a,0.66264355,-0.020193666,0.037059844,false
Acapulco,#75aa94,0.69436103,-0.0632399,0.014898598,false
Acapulco Aqua,#7fa8a7,0.7015133,-0.04296702,-0.010962546,false
Acapulco Cliffs,#4e9aa8,0.64317816,-0.066660106,-0.04013866,false
Acapulco Dive,#65a7dd,0.7060534,-0.044569165,-0.09440833,true
Acapulco Sun,#eb8a44,0.72474456,0.0856356,0.11693996,false
Accent Green Blue,#208468,0.55016613,-0.09788357,0.018202811,false
Accent Orange,#e56d00,0.66676664,0.110908255,0.1350584,false
Accessible Beige,#d2c7b7,0.83426464,0.005461514,0.024495542,false
Accolade,#7c94b2,0.65876526,-0.014325649,-0.050594807,false
Accursed Black,#090807,0.13530332,0.0011236668,0.0030184686,false
Ace,#c7cce7,0.8498298,0.0047792494,-0.037568033,false
Aceituna Picante,#727a5f,0.5650672,-0.021294788,0.03525746,false
Aceto Balsamico,#4e4f48,0.42437458,-0.0045339167,0.010437459,false
Acid,#00ff22,0.86708236,-0.23138082,0.17384088,true
Acid Blond,#efedd7,0.94180524,-0.0064040124,0.028413534,false
Acid Candy,#a8c74d,0.78252524,-0.080684006,0.12883067,false
Acid Drop,#11ff22,0.867731,-0.23014942,0.17396754,false
Acid Green,#8ffe09,0.8946927,-0.17754078,0.1837498,true
Acid Lime,#b9df31,0.8470806,-0.10077444,0.16237926,false
Acid Pool,#00ee22,0.82306796,-0.21921209,0.16409856,false
Acid Pops,#33ee66,0.8324435,-0.19379783,0.124272466,false
Acid Reflux,#30ff21,0.8704579,-0.22506833,0.17478013,false
Acid Sleazebag,#4fc172,0.72595745,-0.13454264,0.07524967,false
Acier,#9e9991,0.6848304,0.002300024,0.012738049,false
Acini di Pepe,#ffd8b1,0.90572333,0.026448756,0.061730027,false
Aconite Purple,#7249d6,0.5307363,0.07388991,-0.19069543,false
Aconite Violet,#9c52f2,0.60654086,0.11774546,-0.19608799,false
Acorn,#7f5e50,0.5121368,0.03492789,0.033760697,true
Acorn Nut,#d48948,0.6949375,0.06196785,0.105336756,false
Acorn Spice,#b87439,0.62042886,0.058086917,0.09733969,false
Acorn Squash,#eda740,0.7781775,0.0414356,0.13513231,false
Acoustic Brown,#766b69,0.5373546,0.012361854,0.0071170926,true
Acoustic White,#efece1,0.9424032,-0.001097858,0.014938951,false
Across the Bay,#b3e1e8,0.87968755,-0.042953342,-0.022581637,false
Actinic Light,#ff44ee,0.71765906,0.24525687,-0.1296969,false
Action Green,#00504b,0.38848263,-0.067085296,-0.008917689,false
Active Green,#00a67e,0.6440132,-0.12754172,0.027071357,false
Active Turquoise,#006f72,0.49164784,-0.079497576,-0.025936723,false
Active Volcano,#bb1133,0.50666666,0.18427251,0.06613442,true
Actor’s Star,#a7a6a3,0.7250873,-0.000113248825,0.004428923,false
Adamantine Blue,#46adf9,0.7212766,-0.06297395,-0.13111633,false
Adamite Green,#3b845e,0.55581796,-0.08822419,0.035021633,false
Adana Kebabı,#661111,0.33390382,0.10584766,0.05272834,false
Adaptive Shade,#867e70,0.59612554,0.0032880604,0.022630423,false
Addo,#545651,0.44968018,-0.004761085,0.0068981647,false
Adeline,#ccb0b5,0.78288585,0.032852173,0.0032961369,false
Adept,#293947,0.3367244,-0.01352568,-0.029514492,false
Adeptus Battlegrey,#7c8286,0.60287815,-0.0051576197,-0.007839978,false
Adhesion,#9e9cab,0.6992218,0.008138478,-0.020191967,false
Adirondack,#b0b9c1,0.78114855,-0.0064701736,-0.013730943,false
Adirondack Blue,#74858f,0.6064191,-0.014820635,-0.020136237,false
Admiral Blue,#50647f,0.49769148,-0.012010485,-0.04829231,true
Admiralty,#404e61,0.41957775,-0.008756176,-0.0354594,false
Admiration,#f6f3d3,0.95822173,-0.009261012,0.040898442,false
Adobe,#bd6c48,0.61462307,0.08253254,0.07995489,false
Adobe Avenue,#fb9587,0.7731696,0.1101197,0.060054302,false
Adobe Beige,#dcbfa6,0.8229397,0.021659583,0.042260766,false
Adobe Rose,#ba9f99,0.72474945,0.02799514,0.017904699,false
Adobe Sand,#e8dec5,0.90197766,0.00074365735,0.03499967,false
Adobe South,#e5c1a7,0.8353803,0.028954297,0.045874298,false
Adobe Straw,#c3a998,0.75291044,0.02208674,0.031768322,false
Adobe White,#e6dbc4,0.8941331,0.0026005805,0.032898426,false
Adolescent Rodent,#a99681,0.6841933,0.012840927,0.035158396,false
Adonis,#64b5bf,0.72536814,-0.072457224,-0.03519219,false
Adonis Rose Yellow,#efbf4d,0.8271006,0.010513246,0.13939923,false
Adora,#8d8dc9,0.6665211,0.021005362,-0.085893095,false
Adorable,#e3beb0,0.82989126,0.03492719,0.031226337,false
Adriatic,#014a69,0.38627335,-0.046705127,-0.06676394,false
Adriatic Blue,#5c899b,0.6043329,-0.039679974,-0.039714158,false
Adriatic Haze,#96c6cd,0.79504573,-0.045501053,-0.02347505,false
Adriatic Mist,#d3ece4,0.9225279,-0.028293163,0.0027335286,false
Adriatic Sea,#016081,0.45848373,-0.058138132,-0.07097465,false
Adrift,#4b9099,0.61183316,-0.06341186,-0.03169304,false
Adrift on the Nile,#93b8e3,0.7709934,-0.022157907,-0.07039142,true
Advantageous,#20726a,0.50191784,-0.077193454,-0.007570952,false
Adventure,#34788c,0.5374812,-0.057091653,-0.048121125,false
Adventure Island Pink,#f87858,0.71625614,0.1341241,0.09455383,false
Adventure Isle,#6f9fb9,0.6778889,-0.038976014,-0.051048577,false
Adventure of the Seas,#3063af,0.5046652,-0.02681163,-0.13019118,false
Adventure Orange,#eda367,0.77521837,0.060108483,0.09974027,false
Adventurer,#72664f,0.51518905,0.0042356253,0.037376046,false
Adventurine,#7cac88,0.70007646,-0.0647929,0.034559906,false
Advertisement Green,#d8cb4b,0.82953036,-0.03414914,0.14224619,false
Advertising Blue,#0081a8,0.5634017,-0.07345402,-0.08187592,false
Advertising Green,#53a079,0.6452592,-0.091448426,0.033538014,false
Aebleskiver,#e6d3b6,0.87493116,0.0088174045,0.043186843,false
Aegean Blue,#1b416f,0.37310722,-0.023613706,-0.08709496,true
Aegean Green,#4c8c72,0.5894424,-0.07558119,0.019438118,false
Aegean Mist,#9cbbe2,0.78270274,-0.017620414,-0.062933385,false
Aegean Sea,#508fa2,0.61518604,-0.05463603,-0.045084357,false
Aegean Sky,#e48b59,0.7202139,0.08308795,0.09596157,false
Aegean Splendor,#9ba0a4,0.70292866,-0.0038826764,-0.0072151423,false
Aerial View,#a0b2c8,0.7569225,-0.010646135,-0.03595704,false
Aero,#7cb9e8,0.76198244,-0.042636633,-0.082158506,false
Aero Blue,#c0e8d5,0.8972343,-0.047363162,0.01278609,false
Aerobic Fix,#a2c348,0.76858616,-0.0831784,0.12891173,false
Aeronautic,#2b3448,0.3258013,-0.0028936714,-0.037706196,false
Aerospace Orange,#ff4f00,0.6696488,0.17635469,0.13492075,false
Aerostatics,#355376,0.43491393,-0.019910663,-0.065487385,false
Aesthetic White,#e3ddd3,0.8995172,0.0024227202,0.01480186,false
Affair,#745085,0.4914248,0.06442329,-0.06577298,false
Affen Turquoise,#aaffff,0.94607633,-0.078912735,-0.022408783,false
Affinity,#fed2a5,0.8909354,0.029718041,0.07073444,false
Afghan Carpet,#905e26,0.52576566,0.039622515,0.08773905,false
Afghan Hound,#e2d7b5,0.87927926,-0.0017971098,0.046667516,false
Afghan Sand,#d3a95c,0.7571797,0.01659578,0.10615313,false
Afloat,#78a3c2,0.6957026,-0.032431066,-0.05662489,false
African Bubinga,#c7927a,0.705028,0.051268816,0.051975667,false
African Grey,#939899,0.67588276,-0.005138457,-0.0030920506,false
African Mahogany,#cd4a4a,0.5884622,0.15244506,0.06708965,false
African Mud,#826c68,0.5511939,0.024891362,0.014419466,false
African Plain,#86714a,0.5589852,0.008126795,0.060461223,false
African Safari,#b16b40,0.59596837,0.06711872,0.08297253,false
African Sand,#ccaa88,0.75975525,0.024160773,0.056073487,false
African Violet,#b085b7,0.6750503,0.06811991,-0.053832054,false
After Burn,#fd8b60,0.75286746,0.11326274,0.09852773,false
After Dark,#3c3535,0.33630395,0.009485066,0.003019333,false
After Dinner Mint,#e3f5e5,0.9524626,-0.024292082,0.014827132,false
After Eight,#3d2e24,0.31518444,0.015981853,0.022958204,false
After Eight Filling,#d6eae8,0.9216844,-0.021046221,-0.0035387874,false
After Midnight,#38393f,0.34590772,0.0015123487,-0.010371089,true
After Shock,#fec65f,0.8574578,0.02246058,0.133479,false
After the Rain,#8bc4d1,0.78555006,-0.051378578,-0.03391379,false
After the Storm,#33616a,0.4635963,-0.04457538,-0.027558237,true
After Work Blue,#24246d,0.31170687,0.014009267,-0.122418255,false
After-Party Pink,#c95efb,0.67814463,0.16066483,-0.17053741,false
Aftercare,#85c0cd,0.7719178,-0.053229034,-0.034477532,false
Afterglow,#f2e3c5,0.92011064,0.004050255,0.04262066,false
Afterlife,#d91fff,0.652927,0.22871652,-0.19618559,false
Afternoon,#fbcb78,0.8670983,0.019914478,0.113265455,false
Afternoon Coffee,#6e544b,0.47021997,0.02894108,0.024236113,true
Afternoon Sky,#87ceeb,0.81481725,-0.057156205,-0.058680058,false
Afternoon Stroll,#d9c5a1,0.8310058,0.00719434,0.052648783,false
Afternoon Tea,#594e40,0.43065813,0.00747332,0.02552408,false
Agapanthus,#bbc5de,0.8236558,-0.00113374,-0.03677523,false
Agate Brown,#956a60,0.5657784,0.048154697,0.03189656,false
Agate Violet,#5a5b74,0.47996017,0.009000286,-0.039045572,false
Agave,#879d99,0.67766994,-0.025437653,-0.0015027523,false
Agave Frond,#5a6e6a,0.5206258,-0.024641901,-0.00078830123,false
Agave Green,#70766e,0.5582049,-0.010457322,0.00947997,false
Agave Plant,#879c67,0.66277146,-0.045922965,0.06317714,false
Aged Antics,#886b2e,0.54393107,0.009798661,0.086334914,true
Aged Beech,#846262,0.5308806,0.041998222,0.014175445,false
Aged Beige,#d7cfc0,0.8568261,0.0026073158,0.022066236,false
Aged Brandy,#87413f,0.4642894,0.08860166,0.037938833,false
Aged Chocolate,#5f4947,0.42798623,0.02764988,0.012551308,false
Aged Cotton,#e0dcda,0.89706427,0.0034128726,0.003881991,false
Aged Eucalyptus,#898253,0.6012061,-0.0123998225,0.06482592,false
Aged Gouda,#dd9944,0.73444265,0.045702666,0.120372206,false
Aged Jade,#6c6956,0.5179737,-0.0049814135,0.028551817,false
Aged Merlot,#73343a,0.41109544,0.08547652,0.02436921,false
Aged Moustache Grey,#7e7e7e,0.5931033,-2.9802322e-8,2.9802322e-8,false
Aged Mustard Green,#6e6e30,0.5243334,-0.027323544,0.07945058,false
Aged Olive,#7e7666,0.5683918,0.002436772,0.025655538,false
Aged Papyrus,#ceb588,0.78364897,0.009238809,0.06583184,false
Aged Parchment,#e9ddca,0.9020549,0.0052348375,0.02815181,false
Aged Pewter,#889999,0.66950095,-0.018570185,-0.0055707097,false
Aged Pink,#c99f99,0.73937035,0.04512301,0.023734033,false
Aged Plastic Casing,#fffa86,0.96558166,-0.039334774,0.13263261,false
Aged Purple,#a442a0,0.54544413,0.14811808,-0.088124156,false
Aged Seagrass,#ccb27a,0.7730638,0.005946487,0.07905543,false
Aged Teak,#7a4134,0.44265765,0.06833212,0.04587242,false
Aged to Perfection,#a58ea9,0.67620784,0.036739767,-0.029460251,false
Aged Whisky,#9d7147,0.58384335,0.035357818,0.072007,false
Aged White,#e8decd,0.903971,0.0039004087,0.024965763,false
Aged Wine,#895460,0.50922483,0.07181047,0.006600857,false
Ageless,#ececdf,0.93954164,-0.004967153,0.016527832,false
Ageless Beauty,#e7a995,0.7880701,0.06160271,0.04922408,false
Aggressive Baby Blue,#6fffff,0.9219994,-0.119312435,-0.032465935,false
Aggressive Salmon,#ff7799,0.73781294,0.16689986,0.018796444,false
Aging Barrel,#6a5b4e,0.4819991,0.012777433,0.025081724,false
Agrax Earthshade,#393121,0.31698895,0.0028862953,0.028788492,false
Agreeable Grey,#d1cbc1,0.8441349,0.0024610758,0.015032172,false
Agrellan Badland,#ffb347,0.82082963,0.045658886,0.14140129,false
Agrellan Earth,#a17c59,0.6137639,0.029034868,0.060734957,false
Agressive Aqua,#00fbff,0.8959692,-0.14598674,-0.044198453,true
Agrodolce,#f0e2d3,0.9199234,0.00888291,0.02366376,false
Agua Fría,#9fc5cc,0.7981731,-0.03604418,-0.020840228,false
Ahaetulla Prasina,#00fa92,0.8653525,-0.19368398,0.08993465,false
Ahmar Red,#c22147,0.53131795,0.1868532,0.049392194,false
Ahoy,#2a3149,0.31793472,0.0009673238,-0.044134527,false
Ahoy! Blue,#0082a1,0.56250846,-0.07705894,-0.07009891,true
Ahriman Blue,#199ebd,0.64772624,-0.08732894,-0.07124859,false
Ai Indigo,#274447,0.36510843,-0.03211744,-0.014398873,false
Aida,#b4c8b6,0.8125315,-0.028093755,0.017466605,false
Aijiro White,#ecf7f7,0.96793115,-0.011125386,-0.0033938885,false
Aimee,#eee5e1,0.9278731,0.007837951,0.008036375,false
Aimiru Brown,#2e372e,0.32526737,-0.01628454,0.011359841,false
Air Blue,#69a3c1,0.68690985,-0.046266973,-0.058978856,false
Air Castle,#d7d1e9,0.8727912,0.015214443,-0.02967596,false
Air Force Blue,#5d8aa8,0.6125785,-0.035057366,-0.05721402,false
Air of Mint,#d8f2ee,0.9411051,-0.027608633,-0.0026888251,false
Air Superiority Blue,#72a0c1,0.6850803,-0.034552038,-0.060433567,false
Air-Kiss,#f6dcd2,0.91310495,0.023653924,0.021490872,true
Airborne,#a2c2d0,0.79501265,-0.027546734,-0.028707862,true
Airbrushed Copper,#aa6c51,0.59165186,0.06373745,0.061879754,false
Aircraft Blue,#354f58,0.41033077,-0.02609621,-0.023106128,false
Aircraft Exterior Grey,#939498,0.66696566,0.0005123317,-0.0059453845,false
Aircraft Green,#2a2c1f,0.2868286,-0.009634361,0.020694926,false
Aircraft White,#edf2f8,0.95908666,-0.0028580427,-0.009239674,false
Airflow,#d9e5e4,0.91256785,-0.012677044,-0.0024504066,false
Airforce,#364d70,0.41762325,-0.012981996,-0.064160824,false
Airline Green,#8c9632,0.64529836,-0.05162385,0.11182183,false
Airway,#aec1d4,0.80254066,-0.012625128,-0.031647384,false
Airy,#dae6e9,0.91676915,-0.0111458,-0.0076209307,false
Airy Blue,#88ccee,0.81208247,-0.05286783,-0.06488192,false
Airy Green,#dbe0c4,0.8954153,-0.016175687,0.034087002,false
Ajo Lily,#faecd9,0.9491331,0.007262856,0.028468132,false
Ajwain Green,#d3de7b,0.87098634,-0.050862134,0.11314213,false
Akabeni,#c3272b,0.53271157,0.1724492,0.082756996,false
Akai Red,#bc012e,0.5031727,0.18905081,0.07053825,false
Akakō Red,#f07f5e,0.71675307,0.11713937,0.08864704,false
Akari Red,#c90b42,0.5339276,0.20162183,0.056565166,true
Akaroa,#beb29a,0.7671623,0.0033909082,0.035678387,false
Ake Blood,#cf3a24,0.569517,0.16150913,0.09876934,false
Akebi Purple,#983fb2,0.5357776,0.1384924,-0.12556627,false
Akebono Dawn,#fa7b62,0.7248818,0.13529804,0.086492,false
Akhdhar Green,#b0e313,0.84915227,-0.11857265,0.17225224,false
Akihabara Arcade,#601ef9,0.50297177,0.065280706,-0.27202687,false
Akira Red,#e12120,0.5829745,0.19678122,0.104307294,false
Akuma,#d63136,0.5757049,0.18209568,0.08453116,false
Akuma’s Fury,#871646,0.41481784,0.1502858,0.003929317,false
Alabama Crimson,#a32638,0.47562432,0.1520732,0.050106734,false
Alabaster,#f3e7db,0.9342069,0.007903099,0.019146025,false
Alabaster Beauty,#e9e3d2,0.915957,-0.00031274557,0.023593187,false
Alabaster Gleam,#f0debd,0.90675354,0.006075144,0.04740888,false
Alabaster White,#dfd4bf,0.87317914,0.0034127831,0.03056115,false
Alaea,#81585b,0.5053486,0.05284649,0.013527453,false
Alaitoc Blue,#8e8c97,0.6453453,0.006718695,-0.014892578,false
Alajuela Toad,#ffae52,0.81278604,0.05642712,0.13079047,false
Alameda Ochre,#ca9234,0.698161,0.029700935,0.122810125,false
Alamosa Green,#939b71,0.67198163,-0.02689144,0.053241253,false
Alarm,#ec0003,0.5923018,0.21236546,0.11789125,true
Alarming Slime,#2ce335,0.79866785,-0.20125255,0.1504634,false
Alaska,#dadad1,0.8858553,-0.0034784973,0.011635125,true
Alaskan Blue,#61a4ce,0.69070685,-0.0493671,-0.07794875,false
Alaskan Cruise,#34466c,0.39712915,-0.006925136,-0.06829664,false
Alaskan Grey,#bcbebc,0.79933786,-0.0029250383,0.0020071864,false
Alaskan Ice,#7e9ec2,0.68842375,-0.02012679,-0.06093073,false
Alaskan Mist,#ecf0e5,0.94907296,-0.008277446,0.012724102,false
Alaskan Moss,#05472a,0.35167584,-0.07376099,0.03038767,false
Alaskan Skies,#cddced,0.8883805,-0.009047031,-0.027000427,false
Alaskan Wind,#bae3eb,0.8892497,-0.037817836,-0.022541165,false
Albanian Red,#cc0001,0.53079677,0.19018383,0.10603854,false
Albeit,#38546e,0.43504295,-0.02108398,-0.05058098,false
Albert Green,#4f5845,0.44662833,-0.019942015,0.02525273,false
Albescent White,#e1dacb,0.88983315,0.0015263259,0.02154249,false
Albino,#fbeee5,0.95690227,0.010043949,0.0155953765,false
Albuquerque,#cca47e,0.7458491,0.029592484,0.0633319,false
Alchemy,#e7cf8c,0.8593435,-0.00088205934,0.08949989,false
Aldabra,#aaa492,0.71869427,-0.0007724762,0.026284575,false
Alden Till,#7a4b49,0.46620846,0.059575573,0.024645805,false
Alesan,#efc1a6,0.8446496,0.03963405,0.050670266,false
Aleutian,#9499af,0.686217,0.0030680299,-0.032627344,false
Aleutian Isle,#4d7eaa,0.5770392,-0.033802837,-0.07967892,false
Alexandra Peach,#db9785,0.7387313,0.07054311,0.05021602,false
Alexandria,#ff8f73,0.76473194,0.11618519,0.0813598,false
Alexandria’s Lighthouse,#fcefc1,0.9510995,-0.004391223,0.060865104,false
Alexandrian Sky,#bcd9dc,0.8649764,-0.028356314,-0.012747824,false
Alexandrite,#598c74,0.59676594,-0.06358293,0.01922527,false
Alexandrite Green,#767853,0.5611221,-0.018912822,0.05029291,false
Alexis Blue,#416082,0.4797805,-0.02100119,-0.06281564,false
Alfajor Brown,#a55232,0.53441507,0.089531526,0.07805538,false
Alfalfa,#b3b299,0.757576,-0.009150982,0.033409536,false
Alfalfa Bug,#78ad6d,0.6941226,-0.08198446,0.0682846,false
Alfalfa Extract,#546940,0.49250826,-0.043545395,0.05083683,false
Alfonso Olive,#80365a,0.4447539,0.10956898,-0.015109926,false
Alga Moss,#8da98d,0.7056156,-0.041614622,0.029125214,false
Algae,#54ac68,0.672423,-0.112764,0.06731498,false
Algae Green,#93dfb8,0.8432599,-0.08859363,0.03025639,false
Algae Red,#983d53,0.4895901,0.12216601,0.016866565,false
Algal Fuel,#21c36f,0.7201145,-0.15666714,0.07728624,false
Algen Gerne,#479784,0.6204685,-0.084094554,0.0063369274,false
Algerian Coral,#fc5a50,0.6822066,0.17719725,0.091011345,false
Algiers Blue,#008db0,0.59739286,-0.081095755,-0.07673505,false
Algodon Azul,#c1dbec,0.8775792,-0.020065337,-0.030353725,false
Alhambra,#00a094,0.63479215,-0.11108214,-0.010692418,false
Alhambra Cream,#f7f2e1,0.9604702,-0.0013387799,0.023013234,false
Alhambra Green,#00a465,0.632753,-0.13791606,0.05705616,false
Alibi,#d4cbc4,0.8474118,0.0068517625,0.01212889,false
Alice Blue,#f0f8ff,0.9751429,-0.0055006444,-0.011404157,false
Alice White,#c2ced2,0.8434066,-0.010979861,-0.009096861,false
Alien,#415764,0.4438574,-0.019944131,-0.027952433,false
Alien Abduction,#0cff0c,0.8670134,-0.23249418,0.17826515,true
Alien Armpit,#84de02,0.8118062,-0.15437564,0.16726011,false
Alien Breed,#b9cc81,0.8132156,-0.050686926,0.0868659,false
Alien Parasite,#55ff33,0.8781253,-0.20952871,0.17007679,false
Alien Purple,#490648,0.2886263,0.105607435,-0.06370273,false
Alienated,#00cc55,0.73742914,-0.18002036,0.11089447,true
Alienator Grey,#9790a4,0.665933,0.01578921,-0.025764585,false
Align,#00728d,0.5116641,-0.07035762,-0.062951595,false
Alishan Dawn,#fedab9,0.9103491,0.02550295,0.05345136,false
Alizarin,#e34636,0.6171076,0.17067875,0.096895725,false
Alizarin Crimson,#e32636,0.59144425,0.20106089,0.088832855,false
All About Olive,#676c58,0.5210031,-0.0149796605,0.0271492,false
All Dressed Up,#e6999d,0.760367,0.08913529,0.025692344,false
All Made Up,#efd7e7,0.9034425,0.031347573,-0.012663841,false
All Nighter,#455454,0.4330538,-0.017998949,-0.0053243935,false
All the Leaves Are Brown,#994411,0.4906849,0.08872564,0.09249896,false
All’s Ace,#c68886,0.6881734,0.07137728,0.027818143,false
Allegiance,#5a6a8c,0.52470213,-0.0050619543,-0.05712253,false
Allegory,#b4b2a9,0.7626161,-0.0014443696,0.012729466,false
Allegro,#b28959,0.6584097,0.02787,0.07666388,false
Alley,#b8c4d9,0.8176971,-0.0046600103,-0.032050133,false
Alley Cat,#656874,0.51888365,0.0015234798,-0.019138634,true
Alliance,#2b655f,0.46639025,-0.06098239,-0.006642729,false
Alligator,#886600,0.53025806,0.008362383,0.10827291,true
Alligator Alley,#c5d17b,0.8322603,-0.04744169,0.10011536,true
Alligator Egg,#eaeed7,0.9399318,-0.012973309,0.027820349,false
Alligator Gladiator,#444411,0.3755002,-0.023246959,0.06619422,false
Alligator Scales,#646048,0.4859532,-0.006180331,0.03621459,false
Allison Lace,#f1ead4,0.93670166,-0.001219362,0.030026138,false
Allium,#9569a3,0.58751434,0.073708504,-0.06684184,false
Alloy,#908f92,0.65182465,0.0023605824,-0.0038698912,false
Alloy Orange,#c46210,0.60265964,0.09162329,0.1179634,false
Allports,#1f6a7d,0.48798,-0.06003356,-0.047780216,false
Allspice,#f8cdaa,0.87683034,0.032716393,0.05879432,false
Allspice Berry,#8e443d,0.47928122,0.09073332,0.04636678,false
Allura Red,#ed2e38,0.6144577,0.20311083,0.093658745,false
Allure,#7291b4,0.64627194,-0.019717366,-0.060121953,false
Alluring Blue,#9ec4cd,0.7956925,-0.03528589,-0.023563087,false
Alluring Gesture,#f8dbc2,0.9089736,0.021067113,0.041291952,false
